tag_code,tag_name,category,part,depth,weight,is_active
G-001,Grammar Concept 1,GRAMMAR,RC,2,1.1,True
G-002,Grammar Concept 2,GRAMMAR,RC,2,1.1,True
G-003,Grammar Concept 3,GRAMMAR,RC,2,1.1,True
G-004,Grammar Concept 4,GRAMMAR,RC,2,1.1,True
G-005,Grammar Concept 5,GRAMMAR,RC,2,1.1,True
G-006,Grammar Concept 6,GRAMMAR,RC,2,1.1,True
G-007,Grammar Concept 7,GRAMMAR,RC,2,1.1,True
G-008,Grammar Concept 8,GRAMMAR,RC,2,1.1,True
G-009,Grammar Concept 9,GRAMMAR,RC,2,1.1,True
G-010,Grammar Concept 10,GRAMMAR,RC,2,1.1,True
G-011,Grammar Concept 11,GRAMMAR,RC,2,1.1,True
G-012,Grammar Concept 12,GRAMMAR,RC,2,1.1,True
G-013,Grammar Concept 13,GRAMMAR,RC,2,1.1,True
G-014,Grammar Concept 14,GRAMMAR,RC,2,1.1,True
G-015,Grammar Concept 15,GRAMMAR,RC,2,1.1,True
G-016,Grammar Concept 16,GRAMMAR,RC,2,1.1,True
G-017,Grammar Concept 17,GRAMMAR,RC,2,1.1,True
G-018,Grammar Concept 18,GRAMMAR,RC,2,1.1,True
G-019,Grammar Concept 19,GRAMMAR,RC,2,1.1,True
G-020,Grammar Concept 20,GRAMMAR,RC,2,1.1,True
G-021,Grammar Concept 21,GRAMMAR,RC,2,1.1,True
G-022,Grammar Concept 22,GRAMMAR,RC,2,1.1,True
G-023,Grammar Concept 23,GRAMMAR,RC,2,1.1,True
G-024,Grammar Concept 24,GRAMMAR,RC,2,1.1,True
G-025,Grammar Concept 25,GRAMMAR,RC,2,1.1,True
G-026,Grammar Concept 26,GRAMMAR,RC,2,1.1,True
G-027,Grammar Concept 27,GRAMMAR,RC,2,1.1,True
G-028,Grammar Concept 28,GRAMMAR,RC,2,1.1,True
G-029,Grammar Concept 29,GRAMMAR,RC,2,1.1,True
G-030,Grammar Concept 30,GRAMMAR,RC,2,1.1,True
G-031,Grammar Concept 31,GRAMMAR,RC,2,1.1,True
G-032,Grammar Concept 32,GRAMMAR,RC,2,1.1,True
G-033,Grammar Concept 33,GRAMMAR,RC,2,1.1,True
G-034,Grammar Concept 34,GRAMMAR,RC,2,1.1,True
G-035,Grammar Concept 35,GRAMMAR,RC,2,1.1,True
G-036,Grammar Concept 36,GRAMMAR,RC,2,1.1,True
G-037,Grammar Concept 37,GRAMMAR,RC,2,1.1,True
G-038,Grammar Concept 38,GRAMMAR,RC,2,1.1,True
G-039,Grammar Concept 39,GRAMMAR,RC,2,1.1,True
G-040,Grammar Concept 40,GRAMMAR,RC,2,1.1,True
G-041,Grammar Concept 41,GRAMMAR,RC,2,1.1,True
G-042,Grammar Concept 42,GRAMMAR,RC,2,1.1,True
G-043,Grammar Concept 43,GRAMMAR,RC,2,1.1,True
G-044,Grammar Concept 44,GRAMMAR,RC,2,1.1,True
G-045,Grammar Concept 45,GRAMMAR,RC,2,1.1,True
G-046,Grammar Concept 46,GRAMMAR,RC,2,1.1,True
G-047,Grammar Concept 47,GRAMMAR,RC,2,1.1,True
G-048,Grammar Concept 48,GRAMMAR,RC,2,1.1,True
G-049,Grammar Concept 49,GRAMMAR,RC,2,1.1,True
G-050,Grammar Concept 50,GRAMMAR,RC,2,1.1,True
G-051,Grammar Concept 51,GRAMMAR,RC,2,1.1,True
G-052,Grammar Concept 52,GRAMMAR,RC,2,1.1,True
G-053,Grammar Concept 53,GRAMMAR,RC,2,1.1,True
G-054,Grammar Concept 54,GRAMMAR,RC,2,1.1,True
G-055,Grammar Concept 55,GRAMMAR,RC,2,1.1,True
G-056,Grammar Concept 56,GRAMMAR,RC,2,1.1,True
G-057,Grammar Concept 57,GRAMMAR,RC,2,1.1,True
G-058,Grammar Concept 58,GRAMMAR,RC,2,1.1,True
G-059,Grammar Concept 59,GRAMMAR,RC,2,1.1,True
G-060,Grammar Concept 60,GRAMMAR,RC,2,1.1,True
G-061,Grammar Concept 61,GRAMMAR,RC,2,1.1,True
G-062,Grammar Concept 62,GRAMMAR,RC,2,1.1,True
